"id","name","description","wbs","current_status","Resource","PlannedStartDate","PlannedEndDate","ActualStartDate","ActualEndDate","action","predecessor_successor","progress","assigned_to","proj_id","created_at","updated_at","ActualResource"
"19","Funding - order of magnitude of project cost, per CC, EC and post EC","Description","1.1.10.1",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"2","2024-06-22 04:45:19.823269","2024-06-28 00:28:33.274378",NULL
"20","Resource requirements.","","1.1.11",1,"","2009-05-13 08:00:00","2009-05-14 17:00:00","2009-05-13 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:19.911004","2024-06-26 02:49:09.851292",NULL
"21","Identify resources required and roles for data governance program","","1.1.11.1",2,"","2009-05-13 08:00:00","2009-05-14 17:00:00","2009-05-13 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.00338","2024-07-05 10:31:05.729132",NULL
"22","Constrains, assumptions and risks","","1.1.12",2,"","2009-05-18 08:00:00","2009-05-19 17:00:00","2009-05-18 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.090812","2024-07-05 10:31:05.73294",NULL
"23","Identify project assumptions and risks","Risks and assumptions identified for BC","1.1.12.1",2,"","2009-05-18 08:00:00","2009-05-19 17:00:00","2009-05-18 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.179436","2024-07-05 10:31:05.731145",NULL
"24","Program success factors","Test","1.1.13",1,"","2009-05-18 08:00:00","2009-05-19 17:00:00","2009-05-18 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.262953","2024-07-02 00:49:08.363655",NULL
"25","Define program success factors ","Program Success factors need to be both short term and long term. Should include POC success factors in the CC phase","1.1.13.1",2,"","2009-05-18 08:00:00","2009-05-19 17:00:00","2009-05-18 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.351145","2024-07-05 10:31:05.731855",NULL
"26","Communication Plan","","1.1.14",2,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.439081","2024-07-05 10:31:05.811009",NULL
"27","Stakeholder engagement plan","","1.1.14.1",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.526865","2024-06-22 04:45:20.526865",NULL
"28","Communication Plan","","1.1.14.2",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.609638","2024-06-22 04:45:20.609638",NULL
"29","Create program charter document","","1.1.15",1,"","2009-04-28 08:00:00","2009-04-30 17:00:00","2009-04-28 08:00:00","2009-04-30 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.693885","2024-06-22 04:45:20.693885",NULL
"30","Develop charter slides","","1.1.16",1,"","2009-04-29 08:00:00","2009-04-30 17:00:00","2009-04-29 08:00:00","2009-04-30 17:00:00","","",0,NULL,"2","2024-06-22 04:45:20.773863","2024-06-22 04:45:20.773863",NULL
"31","Sign off on initial project charter document","","1.1.17",1,"","2009-05-06 08:00:00","2009-05-06 08:00:00","2009-05-06 08:00:00","2009-05-06 08:00:00","","",0,NULL,"2","2024-06-22 04:45:20.857797","2024-06-22 04:45:20.857797",NULL
"32","BUSINESS COMMIT PHASE","","1.2",1,"","2009-04-14 08:00:00","2009-05-28 08:00:00","2009-04-14 08:00:00","2009-05-28 08:00:00","","",0,NULL,"2","2024-06-22 04:45:20.941582","2024-06-22 04:45:20.941582",NULL
"33","Design components of data governance framework","","1.2.1",1,"","2009-04-14 08:00:00","2009-05-28 08:00:00","2009-04-14 08:00:00","2009-05-28 08:00:00","","",0,NULL,"2","2024-06-22 04:45:21.021626","2024-06-22 04:45:21.021626",NULL
"34","Data quality framework","","1.2.1.1",1,"","2009-04-14 08:00:00","2009-05-25 17:00:00","2009-04-14 08:00:00","2009-05-25 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.101724","2024-06-22 04:45:21.101724",NULL
"35","DEFINE data quality steps and processes","","1.2.1.1.1",1,"","2009-04-14 08:00:00","2009-04-17 17:00:00","2009-04-14 08:00:00","2009-04-17 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.181694","2024-06-22 04:45:21.181694",NULL
"36","Identify and define data quality standards","","1.2.1.1.2",1,"","2009-04-20 08:00:00","2009-04-21 17:00:00","2009-04-20 08:00:00","2009-04-21 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.267067","2024-06-22 04:45:21.267067",NULL
"37","Define execution steps and roles for data quality framework","","1.2.1.1.3",1,"","2009-05-01 08:00:00","2009-05-07 17:00:00","2009-05-01 08:00:00","2009-05-07 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.354632","2024-06-22 04:45:21.354632",NULL
"38","Define alignment scope with DQIm processes","","1.2.1.1.4",1,"","2009-04-29 08:00:00","2009-05-01 17:00:00","2009-04-29 08:00:00","2009-05-01 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.442444","2024-06-22 04:45:21.442444",NULL
"39","Identify use case for data quality framework - Scope for use case","","1.2.1.1.5",1,"","2009-05-12 08:00:00","2009-05-14 17:00:00","2009-05-12 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.53227","2024-06-22 04:45:21.53227",NULL
"40","Collect information/processes/data for the use case (preliminary)","","1.2.1.1.6",1,"","2009-05-12 08:00:00","2009-05-18 17:00:00","2009-05-12 08:00:00","2009-05-18 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.615021","2024-06-22 04:45:21.615021",NULL
"41","Define requirements for use case","","1.2.1.1.7",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.703027","2024-06-22 04:45:21.703027",NULL
"42","Analyze findings and design use case process steps","","1.2.1.1.8",1,"","2009-05-18 08:00:00","2009-05-20 17:00:00","2009-05-18 08:00:00","2009-05-20 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.796851","2024-06-22 04:45:21.796851",NULL
"43","Document analysis and resulting business case in BC preso","","1.2.1.1.9",1,"","2009-05-21 08:00:00","2009-05-25 17:00:00","2009-05-21 08:00:00","2009-05-25 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.878907","2024-06-22 04:45:21.878907",NULL
"44","MEASURE Data Quality","","1.2.1.2",1,"","2009-05-04 08:00:00","2009-05-14 17:00:00","2009-05-04 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:21.962796","2024-06-22 04:45:21.962796",NULL
"45","Define data quality metrics for Scope","","1.2.1.2.1",1,"","2009-05-04 08:00:00","2009-05-14 17:00:00","2009-05-04 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.04668","2024-06-22 04:45:22.04668",NULL
"46","Review data quality steps and standards for Perfect Order","","1.2.1.2.1.1",1,"","2009-05-04 08:00:00","2009-05-08 17:00:00","2009-05-04 08:00:00","2009-05-08 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.130812","2024-06-22 04:45:22.130812",NULL
"47","ANALYZE data quality metrics for perfect order","Due to constrains in availability of data, focused on end to end process for perfect order and quality/Governance opportunities","1.2.1.2.1.2",1,"","2009-05-11 08:00:00","2009-05-14 17:00:00","2009-05-11 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.214866","2024-06-22 04:45:22.214866",NULL
"48","DESIGN data quality metrics for Perfect Order","","1.2.1.2.1.3",1,"","2009-05-11 08:00:00","2009-05-14 17:00:00","2009-05-11 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.298685","2024-06-22 04:45:22.298685",NULL
"49","Data Governance cycle","","1.2.1.3",1,"","2009-05-13 08:00:00","2009-05-21 17:00:00","2009-05-13 08:00:00","2009-05-21 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.382931","2024-06-22 04:45:22.382931",NULL
"50","DESIGN Key data governance processes","","1.2.1.3.1",1,"","2009-05-13 08:00:00","2009-05-19 17:00:00","2009-05-13 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.469699","2024-06-22 04:45:22.469699",NULL
"51","Define RACI for these processes","Require to validate RACI with sponsors","1.2.1.3.2",1,"","2009-05-20 08:00:00","2009-05-21 17:00:00","2009-05-20 08:00:00","2009-05-21 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.554973","2024-06-22 04:45:22.554973",NULL
"52","Definitions of key components","","1.2.1.4",1,"","2009-04-27 08:00:00","2009-05-19 17:00:00","2009-04-27 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.642845","2024-06-22 04:45:22.642845",NULL
"53","Agreed upon definitions for key data roles - RACI for key data roles","","1.2.1.4.1",1,"","2009-04-27 08:00:00","2009-04-28 17:00:00","2009-04-27 08:00:00","2009-04-28 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.731354","2024-06-22 04:45:22.731354",NULL
"54","Definitions documented for data artifacts(BDO, metrics etc)","","1.2.1.4.2",1,"","2009-05-13 08:00:00","2009-05-14 17:00:00","2009-05-13 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.819179","2024-06-22 04:45:22.819179",NULL
"55","Definitions stored in a standard format and location","","1.2.1.4.3",1,"","2009-05-15 08:00:00","2009-05-19 17:00:00","2009-05-15 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:22.902572","2024-06-22 04:45:22.902572",NULL
"56","Data management office","","1.2.1.5",1,"","2009-04-16 08:00:00","2009-05-01 17:00:00","2009-04-16 08:00:00","2009-05-01 17:00:00","","2",0,NULL,"2","2024-06-22 04:45:22.993554","2024-06-26 11:27:33.080619",NULL
"57","Defining structure for data management office","","1.2.1.5.1",1,"","2009-04-16 08:00:00","2009-04-24 17:00:00","2009-04-16 08:00:00","2009-04-24 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.078919","2024-06-22 04:45:23.078919",NULL
"58","VERIFY structure against data quality framework ","","1.2.1.5.2",1,"","2009-04-27 08:00:00","2009-05-01 17:00:00","2009-04-27 08:00:00","2009-05-01 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.162856","2024-06-22 04:45:23.162856",NULL
"59","Tools","","1.2.1.6",1,"","2009-05-01 08:00:00","2009-05-14 17:00:00","2009-05-01 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.255071","2024-06-22 04:45:23.255071",NULL
"60","Identify tools for data quality (dataFlux)","","1.2.1.6.1",1,"","2009-05-01 08:00:00","2009-05-07 17:00:00","2009-05-01 08:00:00","2009-05-07 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.339194","2024-06-22 04:45:23.339194",NULL
"61","Prototype data quality use case","Moved this to Concept Commit","1.2.1.6.2",1,"","2009-05-08 08:00:00","2009-05-14 17:00:00","2009-05-08 08:00:00","2009-05-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.426877","2024-06-22 04:45:23.426877",NULL
"62","Data Policies and procedures","","1.2.1.7",1,"","2009-05-13 08:00:00","2009-05-26 17:00:00","2009-05-13 08:00:00","2009-05-26 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.515601","2024-06-22 04:45:23.515601",NULL
"63","Identify high level  business policies for data governance","","1.2.1.7.1",1,"","2009-05-13 08:00:00","2009-05-26 17:00:00","2009-05-13 08:00:00","2009-05-26 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.610421","2024-06-22 04:45:23.610421",NULL
"64","Define scope, organization..","Moved this to Concept Commit","1.2.1.7.1.1",1,"","2009-05-13 08:00:00","2009-05-13 17:00:00","2009-05-13 08:00:00","2009-05-13 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.697249","2024-06-22 04:45:23.697249",NULL
"65","Define Controls","Moved to Concept Commit","1.2.1.7.1.2",1,"","2009-05-18 08:00:00","2009-05-20 17:00:00","2009-05-18 08:00:00","2009-05-20 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.782897","2024-06-22 04:45:23.782897",NULL
"66","Define issue resolution cycle and corresponding roles","Moved to CC","1.2.1.7.1.3",1,"","2009-05-14 08:00:00","2009-05-20 17:00:00","2009-05-14 08:00:00","2009-05-20 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.861884","2024-06-22 04:45:23.861884",NULL
"67","Define change management process as part of data governance","Moved to CC","1.2.1.7.1.4",1,"","2009-05-20 08:00:00","2009-05-26 17:00:00","2009-05-20 08:00:00","2009-05-26 17:00:00","","",0,NULL,"2","2024-06-22 04:45:23.941795","2024-06-22 04:45:23.941795",NULL
"68","benchmark with leading practices","Moved to CC","1.2.1.7.1.5",1,"","2009-05-13 08:00:00","2009-05-19 17:00:00","2009-05-13 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:24.021635","2024-06-22 04:45:24.021635",NULL
"69","Communication to stakeholders","","1.2.1.8",1,"","2009-05-18 08:00:00","2009-05-26 17:00:00","2009-05-18 08:00:00","2009-05-26 17:00:00","","",0,NULL,"2","2024-06-22 04:45:24.110023","2024-06-22 04:45:24.110023",NULL
"70","Communicate BC deliverables to stakeholders","","1.2.1.8.1",1,"","2009-05-18 08:00:00","2009-05-19 17:00:00","2009-05-18 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:24.193608","2024-06-22 04:45:24.193608",NULL
"71","Resolve any stakeholder issues","","1.2.1.8.2",1,"","2009-05-20 08:00:00","2009-05-26 17:00:00","2009-05-20 08:00:00","2009-05-26 17:00:00","","",0,NULL,"2","2024-06-22 04:45:24.273658","2024-06-22 04:45:24.273658",NULL
"72","Business Commit gate - Sign off ","","1.2.1.9",1,"","2009-05-28 08:00:00","2009-05-28 08:00:00","2009-05-28 08:00:00","2009-05-28 08:00:00","","",0,NULL,"2","2024-06-22 04:45:24.353884","2024-06-22 04:45:24.353884",NULL
"73","CONCEPT COMMIT PHASE","","1.3",1,"","2009-06-08 08:00:00","2009-10-23 17:00:00","2009-06-08 08:00:00","2009-10-23 17:00:00","","",0,NULL,"2","2024-06-22 04:45:24.437444","2024-06-22 04:45:24.437444",NULL
"74","Data Governance Program POC ","","1.3.1",1,"","2009-06-08 08:00:00","2009-08-13 12:00:00","2009-06-08 08:00:00","2009-08-13 12:00:00","","",0,NULL,"2","2024-06-22 04:45:24.521295","2024-06-22 04:45:24.521295",NULL
"75","POC requirements","","1.3.1.1",1,"","2009-06-08 08:00:00","2009-08-10 12:00:00","2009-06-08 08:00:00","2009-08-10 12:00:00","","",0,NULL,"2","2024-06-22 04:45:24.601854","2024-06-22 04:45:24.601854",NULL
"76","Scope and BRD","","1.3.1.1.1",1,"","2009-06-08 08:00:00","2009-07-10 17:00:00","2009-06-08 08:00:00","2009-07-10 17:00:00","","",0,NULL,"2","2024-06-22 04:45:24.681728","2024-06-22 04:45:24.681728",NULL
"77","Define and document scope of POC","","1.3.1.1.1.1",1,"","2009-06-08 08:00:00","2009-06-26 17:00:00","2009-06-08 08:00:00","2009-06-26 17:00:00","","",0,NULL,"2","2024-06-22 04:45:24.762234","2024-06-22 04:45:24.762234",NULL
"78","Idenify all stakeholders for POC","Working on stakeholders for Item Hub","1.3.1.1.1.2",1,"","2009-06-29 08:00:00","2009-06-29 17:00:00","2009-06-29 08:00:00","2009-06-29 17:00:00","","",0,NULL,"2","2024-06-22 04:45:24.842045","2024-06-22 04:45:24.842045",NULL
"79","Item Setup POC","RISK given the delays since 6/17/09 for alignment with BIDS","1.3.1.1.1.2.1",1,"","2009-06-29 08:00:00","2009-06-29 17:00:00","2009-06-29 08:00:00","2009-06-29 17:00:00","","",0,NULL,"2","2024-06-22 04:45:24.921815","2024-06-22 04:45:24.921815",NULL
"80","Perfect Order OTS metric","","1.3.1.1.1.2.2",1,"","2009-06-29 08:00:00","2009-06-29 17:00:00","2009-06-29 08:00:00","2009-06-29 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.001578","2024-06-22 04:45:25.001578",NULL
"81","Communicate POC OTS scope, resource and support requirements to stakeholders","","1.3.1.1.1.3",1,"","2009-06-30 08:00:00","2009-07-01 17:00:00","2009-06-30 08:00:00","2009-07-01 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.085375","2024-06-22 04:45:25.085375",NULL
"82","Document data quality and governance requrements for POC - BRD (OTS and Item)","","1.3.1.1.1.4",1,"","2009-06-29 08:00:00","2009-07-08 17:00:00","2009-06-29 08:00:00","2009-07-08 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.16598","2024-06-22 04:45:25.16598",NULL
"83","Validate requirements with Biz and IT SMEs (OTS and Item)","","1.3.1.1.1.5",1,"","2009-07-09 08:00:00","2009-07-10 17:00:00","2009-07-09 08:00:00","2009-07-10 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.245789","2024-06-22 04:45:25.245789",NULL
"84","Identify resources, dependencies and mitigation plan","","1.3.1.1.1.6",1,"","2009-07-02 08:00:00","2009-07-07 17:00:00","2009-07-02 08:00:00","2009-07-07 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.333861","2024-06-22 04:45:25.333861",NULL
"85","Data collection plan","","1.3.1.1.2",1,"","2009-07-06 08:00:00","2009-07-15 17:00:00","2009-07-06 08:00:00","2009-07-15 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.417613","2024-06-22 04:45:25.417613",NULL
"86","Define data collection plan (append BRD)","","1.3.1.1.2.1",1,"","2009-07-06 08:00:00","2009-07-15 17:00:00","2009-07-06 08:00:00","2009-07-15 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.497817","2024-06-22 04:45:25.497817",NULL
"87","Test Plan","","1.3.1.1.3",1,"","2009-07-10 08:00:00","2009-07-17 17:00:00","2009-07-10 08:00:00","2009-07-17 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.581853","2024-06-22 04:45:25.581853",NULL
"88","Define test plan","","1.3.1.1.3.1",1,"","2009-07-16 08:00:00","2009-07-17 17:00:00","2009-07-16 08:00:00","2009-07-17 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.665871","2024-06-22 04:45:25.665871",NULL
"89","Allocate resources and obtain commitment from Managers","","1.3.1.1.3.2",1,"","2009-07-10 08:00:00","2009-07-13 12:00:00","2009-07-10 08:00:00","2009-07-13 12:00:00","","",0,NULL,"2","2024-06-22 04:45:25.749787","2024-06-22 04:45:25.749787",NULL
"90","BRD sign off","","1.3.1.1.3.3",1,"","2009-07-17 17:00:00","2009-07-17 17:00:00","2009-07-17 17:00:00","2009-07-17 17:00:00","","",0,NULL,"2","2024-06-22 04:45:25.838136","2024-06-22 04:45:25.838136",NULL
"91","Execute Data quality and data governance for defined scope","","1.3.1.1.4",1,"","2009-06-29 08:00:00","2009-08-10 12:00:00","2009-06-29 08:00:00","2009-08-10 12:00:00","","",0,NULL,"2","2024-06-22 04:45:25.927036","2024-06-22 04:45:25.927036",NULL
"92","Collect actual data per data collection plan","","1.3.1.1.4.1",1,"","2009-07-20 08:00:00","2009-07-24 17:00:00","2009-07-20 08:00:00","2009-07-24 17:00:00","","",0,NULL,"2","2024-06-22 04:45:26.014685","2024-06-22 04:45:26.014685",NULL
"93","POC: Using DataFlux execute data quality & governance requirements ","","1.3.1.1.4.2",1,"","2009-07-27 08:00:00","2009-07-29 12:00:00","2009-07-27 08:00:00","2009-07-29 12:00:00","","",0,NULL,"2","2024-06-22 04:45:26.103067","2024-06-22 04:45:26.103067",NULL
"94","Perfect Order POC","","1.3.1.1.4.2.1",1,"","2009-07-27 08:00:00","2009-07-29 12:00:00","2009-07-27 08:00:00","2009-07-29 12:00:00","","",0,NULL,"2","2024-06-22 04:45:26.186961","2024-06-22 04:45:26.186961",NULL
"95","Establish data quality scorecard","","1.3.1.1.4.3",1,"","2009-07-20 08:00:00","2009-07-31 12:00:00","2009-07-20 08:00:00","2009-07-31 12:00:00","","",0,NULL,"2","2024-06-22 04:45:26.271171","2024-06-22 04:45:26.271171",NULL
"96","Perfect Order POC","","1.3.1.1.4.3.1",1,"","2009-07-20 08:00:00","2009-07-21 17:00:00","2009-07-20 08:00:00","2009-07-21 17:00:00","","",0,NULL,"2","2024-06-22 04:45:26.361065","2024-06-22 04:45:26.361065",NULL
"97","Validate results with SMEs","","1.3.1.1.4.3.2",1,"","2009-07-29 13:00:00","2009-07-31 12:00:00","2009-07-29 13:00:00","2009-07-31 12:00:00","","",0,NULL,"2","2024-06-22 04:45:26.447165","2024-06-22 04:45:26.447165",NULL
"98","Perfect Order POC","","1.3.1.1.4.3.2.1",1,"","2009-07-29 13:00:00","2009-07-31 12:00:00","2009-07-29 13:00:00","2009-07-31 12:00:00","","",0,NULL,"2","2024-06-22 04:45:26.534956","2024-06-22 04:45:26.534956",NULL
"99","Validate proposed governance structure and RACI with results and actions","","1.3.1.1.4.4",1,"","2009-07-29 13:00:00","2009-07-31 12:00:00","2009-07-29 13:00:00","2009-07-31 12:00:00","","",0,NULL,"2","2024-06-22 04:45:26.626745","2024-06-22 04:45:26.626745",NULL
"100","Document results for Concept Commit","","1.3.1.1.4.5",1,"","2009-07-31 13:00:00","2009-08-03 12:00:00","2009-07-31 13:00:00","2009-08-03 12:00:00","","",0,NULL,"2","2024-06-22 04:45:26.710871","2024-06-22 04:45:26.710871",NULL
"101"," POC success measures","","1.3.1.1.4.6",1,"","2009-07-06 08:00:00","2009-07-21 17:00:00","2009-07-06 08:00:00","2009-07-21 17:00:00","","",0,NULL,"2","2024-06-22 04:45:26.798905","2024-06-22 04:45:26.798905",NULL
"102","Define POC success measures for PO and Item","","1.3.1.1.4.6.1",1,"","2009-07-06 08:00:00","2009-07-08 17:00:00","2009-07-06 08:00:00","2009-07-08 17:00:00","","",0,NULL,"2","2024-06-22 04:45:26.886977","2024-06-22 04:45:26.886977",NULL
"103","Validate POC success measures with sponsors","This is updated description","1.3.1.1.4.6.2",1,"","2009-07-16 08:00:00","2009-07-21 17:00:00","2009-07-16 08:00:00","2009-07-21 17:00:00","","",0,NULL,"2","2024-06-22 04:45:26.970642","2024-06-26 11:07:20.31288",NULL
"104","Define Broader Launch Plan ","","1.3.1.1.4.7",1,"","2009-06-29 08:00:00","2009-07-17 17:00:00","2009-06-29 08:00:00","2009-07-17 17:00:00","","",0,NULL,"2","2024-06-22 04:45:27.058849","2024-06-22 04:45:27.058849",NULL
"105","Identify and analyze stakeholders for Program launch - Go Live","","1.3.1.1.4.7.1",1,"","2009-06-29 08:00:00","2009-07-01 17:00:00","2009-06-29 08:00:00","2009-07-01 17:00:00","","",0,NULL,"2","2024-06-22 04:45:27.14683","2024-06-22 04:45:27.14683",NULL
